Ranking references with a star rating ,Downloading references from bibliographic databases websites ,Searching databases and websites from within JabRef ,Sorting references into groups ,Writing Comments on references ,Replacing strings in references ,Adding reference based on PDF metadata ,Adding a PDF URL to a reference ,Editing reference details  e g author  year  ,Editing document type ,Renaming attached PDFs according to a pattern ,Adding new details to reference  e g  ISBN  page numbers  ,Cleaning up references automatically ,Viewing PDF in JabRef ,Checking formal correctness of references ,Merging two references into one ,Deleting references ,Searching for duplicate references ,Sorting PDFs into subfolders ,Downloading references from a shared database ,Uploading references to a shared database ,Exporting references in standard data formats  e g   RIS  BibTe  ,Directly exporting references to text processing software ,Changing Preferences ,Are.there.any.features.of.JabRef.that.you.often.use..which.were.not.listed.already.,Are.there.any.JabRef.features.or.functions..with.which.you.have.trouble.using..or.which.frustrate.you..If.so..please.state.the.feature.and.what.is.wrong.with.it.,Please.select.your.occupation.,What.text.processing.software.do.you.use.the.most.in.combination.with.JabRef.,How.many.references.does.your.biggest.JabRef.library.have..approximately..,Select.the.version.of.JabRef..that.you.use.at.the.moment...
absolutely crucial,somewhat important,not very important,absolutely crucial,absolutely crucial,not very important,somewhat important,absolutely crucial,somewhat important,not important at all,pretty important,pretty important,somewhat important,not important at all,somewhat important,somewhat important,somewhat important,pretty important,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,pretty important,pretty important,"","",Researcher (permanent position),Microsoft Word,300,4.3.1
not very important,pretty important,pretty important,absolutely crucial,somewhat important,pretty important,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,searching in the database a reference,"using groups in jabref tends to be buggy since version 4 and it is one of my favorite feature. More generally, jabref tends to crash and be unusable on macOS ...",PhD Student/PostDoc,LaTeX/LyX,337,4.3.1
not very important,absolutely crucial,absolutely crucial,somewhat important,pretty important,absolutely crucial,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,pretty important,not important at all,pretty important,absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,pretty important,pretty important,"","",Researcher (permanent position),LaTeX/LyX,700,4.1
not very important,not very important,not very important,pretty important,absolutely crucial,pretty important,not very important,absolutely crucial,absolutely crucial,pretty important,not very important,absolutely crucial,not very important,not very important,absolutely crucial,somewhat important,somewhat important,pretty important,not very important,not very important,not very important,not very important,not very important,not very important,"","",PhD Student/PostDoc,LaTeX/LyX,1700,3.8
somewhat important,somewhat important,pretty important,absolutely crucial,absolutely crucial,not very important,not very important,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,somewhat important,not very important,somewhat important,pretty important,somewhat important,pretty important,pretty important,somewhat important,somewhat important,somewhat important,not very important,somewhat important,"","",Researcher (permanent position),LaTeX/LyX,300,4.3.1
not important at all,absolutely crucial,absolutely crucial,somewhat important,not important at all,somewhat important,not very important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,pretty important,not important at all,absolutely crucial,pretty important,absolutely crucial,pretty important,not important at all,not very important,not very important,absolutely crucial,not very important,pretty important,"","",PhD Student/PostDoc,LaTeX/LyX,5000,4.3.1
not very important,absolutely crucial,somewhat important,absolutely crucial,pretty important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,not very important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,"","",PhD Student/PostDoc,Microsoft Word,1000,4.3
not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,pretty important,pretty important,not very important,somewhat important,pretty important,absolutely crucial,pretty important,not very important,pretty important,pretty important,absolutely crucial,absolutely crucial,pretty important,"","- improve the efficiency of JabRef in general and of the entry preview interface in particular
- contextual menu for PDF files : make a new option that renames and moves file at the same time - or make it available as a preference (checkbox automatically move to default folder and rename to bibtex-key.extension)
- make it available for word users",Researcher (permanent position),LaTeX/LyX,2700,4.3.1
not very important,not very important,not very important,I DON'T KNOW THE FEATURE,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,somewhat important,absolutely crucial,Searching in library; Push to TeXstudio; OpenOffice/LibreOffice connection; Backup old file when saving; Edit entry table columns; Import/Export/Reset preferences,"",PhD Student/PostDoc,LaTeX/LyX,167,4.3.1
not very important,absolutely crucial,not very important,absolutely crucial,absolutely crucial,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,not very important,not very important,somewhat important,somewhat important,absolutely crucial,somewhat important,somewhat important,somewhat important,somewhat important,pretty important,absolutely crucial,absolutely crucial,"","",Researcher (permanent position),Microsoft Word,500,4.3
not very important,pretty important,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,pretty important,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,"","",PhD Student/PostDoc,LaTeX/LyX,1600,4.3.1
not very important,pretty important,pretty important,absolutely crucial,somewhat important,not very important,somewhat important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,not very important,pretty important,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,Viewing file annotations in JabRef has become an important part of my workflow.,"",PhD Student/PostDoc,LaTeX/LyX,400,4.3
pretty important,not very important,not very important,absolutely crucial,absolutely crucial,pretty important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not very important,not very important,absolutely crucial,pretty important,absolutely crucial,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,"","",Non-Academic Researcher,OpenOffice/LibreOffice,2000,4.3.1
not very important,not very important,not very important,not very important,not very important,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,not very important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,I DON'T KNOW THE FEATURE,not very important,not very important,somewhat important,not very important,pretty important,Drag and drop a PDF to make a link + rename PDF + change directory,"",Researcher (permanent position),LaTeX/LyX,1000,4.3.1
not important at all,pretty important,not important at all,not very important,not very important,pretty important,somewhat important,pretty important,absolutely crucial,absolutely crucial,not very important,absolutely crucial,pretty important,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not important at all,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,plain BiBLaTex-Editing,LibreOffice-Integration and citation styles,PhD Student/PostDoc,LaTeX/LyX,45,5.0 dev
somewhat important,absolutely crucial,pretty important,somewhat important,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,"","",Student (Bachelor/Master),LaTeX/LyX,200,4.3.1
not very important,pretty important,not very important,absolutely crucial,not important at all,not very important,absolutely crucial,somewhat important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,not very important,not very important,absolutely crucial,not very important,not very important,somewhat important,somewhat important,somewhat important,not very important,not very important,somewhat important,absolutely crucial,not very important,Filtering in Group Entries,Using JabRef in Word,Non-Academic Researcher,Microsoft Word,200,4.3.1
not important at all,somewhat important,absolutely crucial,pretty important,not very important,not very important,not very important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,pretty important,pretty important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,not very important,not very important,"","Configure file annotations tab (font, maybe layout). This tab is great but needs more fine-tuning",PhD Student/PostDoc,LaTeX/LyX,700,4.3.1
somewhat important,somewhat important,not very important,pretty important,somewhat important,not very important,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,somewhat important,pretty important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,"","",PhD Student/PostDoc,LaTeX/LyX,300,4.3.1
pretty important,somewhat important,absolutely crucial,pretty important,pretty important,pretty important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,somewhat important,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,pretty important,"","",Researcher (permanent position),OpenOffice/LibreOffice,8500,4.3.1
not important at all,not important at all,absolutely crucial,absolutely crucial,not important at all,not very important,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,not important at all,not important at all,pretty important,not important at all,absolutely crucial,absolutely crucial,not important at all,not important at all,not important at all,pretty important,absolutely crucial,absolutely crucial,"","",Researcher (permanent position),OpenOffice/LibreOffice,200,4.3.1
pretty important,pretty important,absolutely crucial,absolutely crucial,not very important,not very important,not very important,pretty important,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,somewhat important,somewhat important,absolutely crucial,not very important,pretty important,somewhat important,absolutely crucial,somewhat important,somewhat important,absolutely crucial,absolutely crucial,pretty important,"",I don't like the look-and-feel of the interface. It feels dated and it's not as easy to use as other java-base software like eclipse,Researcher (permanent position),"Latex with emacs, LibreOffice",500,4.3.1
not important at all,absolutely crucial,not very important,not very important,pretty important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,not very important,not important at all,somewhat important,not important at all,absolutely crucial,somewhat important,not important at all,not very important,not very important,somewhat important,absolutely crucial,pretty important,adding references manually,GUI layout,Researcher (permanent position),LaTeX/LyX,53.1,4.3.1
somewhat important,pretty important,pretty important,absolutely crucial,pretty important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,not very important,not very important,pretty important,not very important,somewhat important,pretty important,pretty important,somewhat important,somewhat important,absolutely crucial,somewhat important,absolutely crucial,"","",Non-Academic Researcher,Google Docs,1000,4.3.1
not important at all,absolutely crucial,not very important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,absolutely crucial,pretty important,pretty important,not important at all,pretty important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,not important at all,somewhat important,somewhat important,not important at all,not very important,not important at all,somewhat important,somewhat important,somewhat important,"","Remove-from-groups is awkward because all groups are listed. It would be better NOT to list the groups to which none of the selected references belong (These are greyed-out, so it is clear that they have been identified.)",Researcher (permanent position),LaTeX/LyX,20000,2.10
somewhat important,pretty important,absolutely crucial,pretty important,not very important,not very important,somewhat important,absolutely crucial,pretty important,not very important,absolutely crucial,pretty important,not very important,not important at all,not very important,somewhat important,somewhat important,somewhat important,somewhat important,not very important,not very important,pretty important,somewhat important,pretty important,"","",ultrasonographer,OpenOffice/LibreOffice,2200,4.2
